mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
2043094;18014219;0;1;1
2049887;26615437;0;1;1
2051656;26502469;0;1;0
2053828;27639738;0;1;1
2057814;13272803;1;1;1
2059216;26415048;0;1;0
2060416;12745423;0;1;1
2060416;16172421;0;1;0
2067484;14358490;1;1;0
2069732;21743444;0;1;0
2071423;25205208;0;1;1
2075122;26027667;0;1;0
2077886;25733525;0;1;1
2079164;26140797;0;1;0
2079660;24914089;0;1;0
2079959;26009868;0;1;0
2095374;11754420;0;1;1
2098094;20514024;0;1;1
2098094;20571870;0;1;1
2099726;25695496;0;1;1
2099842;20025004;0;1;1
2099842;23799363;0;1;1
2099842;25650240;0;1;1
2100545;26259588;0;1;1
2103919;26751641;0;1;0
2109772;3171922;0;1;0
2109772;3288223;0;1;0
2109772;26624345;0;1;0
2110558;23548019;0;1;0
2111708;26310743;0;1;1
2114713;3186131;0;1;1
2114713;9492031;1;1;1
2115356;12612568;0;1;0
2120409;25247930;0;1;1
2121758;12131562;0;1;0
2123083;22319608;0;1;0
2123253;8073652;0;1;1
2127399;19744414;0;1;1
2128442;4761958;0;1;1
2129616;26337151;0;1;0
2130469;18584494;0;1;1
2130469;25527110;0;1;0
2131232;26771811;0;1;1
2132044;25290598;0;1;0
2133515;9076991;1;1;1
2140678;17025553;0;1;1
2140678;25547349;0;1;1
2141149;11527586;0;1;0
2143328;25249617;0;1;0
2146358;4056301;0;1;0
2150094;23967026;0;1;1
2160491;26408106;0;1;0
2161339;26412555;0;1;1
2163767;12069448;0;1;1
2164458;2402227;0;1;0
2170604;694756;0;1;1
2170604;25306085;0;1;0
2171138;26004149;0;1;1
2172636;25887661;0;1;1
2180383;26228455;0;1;1
2184783;25565598;0;1;1
2188751;26805988;0;1;1
2191139;1191399;0;1;1
2193229;22263361;0;1;1
2194613;13401171;0;1;0
2195730;25728296;0;1;1
2195758;15045310;0;1;0
2200617;10831211;1;1;1
2205793;20501355;0;1;0
2209943;20955376;0;1;0
2210318;26217307;0;1;0
2211919;6752229;0;1;1
2214288;25649156;0;1;1
2215854;25338677;0;1;0
2215854;25589336;0;1;0
2216043;24959157;0;1;0
2217543;1140812;0;1;0
2217543;13694600;0;1;0
2222250;12700994;1;1;1
2223718;25656979;0;1;1
2224660;18246416;1;1;1
2224997;25921942;0;1;0
2230754;1625969;0;1;1
2230821;26555743;0;1;1
2230846;13823044;0;1;1
2230846;25919634;0;1;1
2236019;13453794;0;1;1
2238105;25774527;0;1;1
2238193;25991856;0;1;1
2239576;26357264;0;1;0
2239971;536039;1;1;1
2246715;3704846;0;1;1
2249547;25161715;0;1;1
2255696;26843729;0;1;0
2256268;2335768;0;1;0
2256559;5010666;0;1;0
2259134;13170540;0;1;1
2259214;25185779;0;1;0
2263265;26596136;0;1;0
2267039;27571781;0;1;0
2268039;25340845;0;1;0
2270621;18183406;0;1;1
2271315;7008820;0;1;1
2274250;18472746;0;1;1
2275887;24167859;0;1;0
2276539;18886343;0;1;0
2279516;15611080;0;1;0
2279516;25675491;0;1;0
2284705;26353374;0;1;1
2284715;24410960;1;1;1
2291691;27224618;0;1;0
2292236;25922054;0;1;1
2295721;27526992;0;1;0
2296021;26833733;0;1;0
2305582;8356027;0;1;0
2310062;25935674;0;1;0
2310431;5239587;1;1;0
2324701;26852304;0;1;0
2330296;26220455;0;1;0
2333494;7800348;0;1;0
