mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
323734;2428;511000000133
323762;40298;131000000133
324132;22096;811000000133
324587;7544;431000000133
324745;25288;611000000133
325622;9654;711000000131
326143;11033;511000000133
326443;1958;131000000133
327235;8498;431000000133
328491;3068;411000000133
330004;9208;431000000133
330076;1194;711000000133
330377;5697;131000000131
330378; ; 
330422;11851;811000000133
331975;4535;131000000131
332906;2444;131000000133
333079;5652;711000000113
333294;530;711000000133
335560;12117;131000000133
335651;9209;131000000113
336470;2134;341041005133
336806;20218;611000000133
337786;10081;411000000133
337838;1881;131000000133
338688;25571;511000000132
339039;8489;131000000113
339369;9659;131000000233
339919;10400;711000000133
340286;4333;131000000133
340603;2447;131000000133
340734;7544;811000000133
340818;10911;361064008133
341946;8162;361064008133
342337;12941;611000000133
342500;40352;131000000133
342643;16446;711000000133
343211;768;361064001113
343475;16583;131000000133
343483;25091;711000000133
344200;1675;131000000133
344552;8841;331000000133
344854;20259;711000000133
345042;26152;611000000133
345501;2123;231000000133
345623;8613;231000000113
346519;40025;231000000133
347067;5134;611000000133
347256;4562;131000000133
348614;7135;131000000133
348619;9165;811000000133
349189;10251;411000000133
349335;9162;811000000133
349380;1213;131000000133
349513;16541;811000000133
350055;4535;231000000131
350056;8495;231000000133
350615;20213;131000000133
350652;9581;131000000113
351362;9779;131000000133
352096;10967;331000000133
352496;8617;131000000113
352699;26219;461064001133
352816;10640;811000000133
352911;5656;131000000133
352996;161;411000000133
353075;25114;511000000133
353908;26274;131000000133
353991;25901;711000000133
354198;7625;231000000133
355252;14879;811000000133
355362;3742;131000000133
355709;4375;611000000133
356243;5574;131000000133
356657;8349;711000000133
356965;26084;461063011133
357489;1676;711000000133
357758;14539;611000000133
358389;4984;611000000133
358696;9543;411000000131
360404;25220;131000000133
361192;12659;611000000133
361363;10829;361061003133
361593;2012;131000000133
361924;284;331000000133
362004;5666;131000000132
362497;9089;611000000133
364278;3328;371072007133
364879;9472;131000000133
364924;4169;711000000131
365034;4533;131000000111
365167;10493;711000000231
365277; ; 
365372;5344;331000000133
365600;9087;231000000133
366151;2005;711000000133
366667;2454;331000000233
366777;1534;411000000133
367898;384;351054019131
368322;2442;131000000113
368778;20139;131000000133
368949;448;431000000133
369231;12185;611000000133
369296;10578;411000000133
370015;2455;131000000131
370410;1261;811000000133
370487;2321;411000000133
370592;10721;511000000133
370901;4988;611000000131
371259;1218;711000000133
371348;9917;611000000133
371590;10640;131000000133
371884;9897;131000000133
372125;10265;411000000133
372167;10495;511000000133
374441;9834;611000000133
374627;26381;511000000133
374903;2442;131000000113
375140;11527;131000000133
375509;3640;131000000132
376979;10721;811000000133
377160;20095;711000000133
377393;20008;131000000133
378307;4562;131000000133
378500;6348;231000000133
378721; ; 
378740; ; 
379127;133;131000000133
379286;10210;131000000133
379342;24438;711000000133
379660; ; 
380313;3163;131000000133
380316;310;711000000133
380779;5131;131000000133
381325;4992;411000000133
381613;3328;231000000133
381713;15526;711000000133
381740;24622;411000000132
381981;10722;511000000133
382480;5596;411000000133
383301;1860;131000000231
383350;24978;511000000133
383611;9828;131000000133
383733;14823;411000000133
384003;7977;711000000133
384079;31262;811000000123
384884;4702;131000000133
385373;3481;411000000133
385637;254;511000000113
385681;8498;411000000133
386812;14922;611000000133
386844;40298;231000000133
388359;1515;331000000133
388647;10405;131000000133
389033;14677;511000000131
389079;134;211000000131
389984;9779;361061003133
390618;9583;131000000133
391274;7331;131000000133
391759;2826;511000000133
392994;8;131000000133
393033;20218;611000000133
394014;1864;131000000133
394231;2120;711000000133
395177;17885;131000000133
395503;5992;131000000133
395758;9581;131000000113
396275;26037;411000000433
396419;1520;131000000133
398375;2283;331000000133
399449;4622;411000000133
399536;8424;131000000133
399791;14677;131000000133
400109;20230;131000000131
403757;11220;711000000131
404167;3313;131000000133
404578;25059;611000000132
404615;25091;611000000133
406129;7544;131000000133
406478;10752;811000000131
406651;6113;131000000133
406652; ; 
408419;1971;431000000133
408488;26503;131000000133
408866;11936;231000000133
409236;10493;711000000231
409890;22354;511000000133
409910;9171;611000000133
410067;4536;131000000111
410562;2052;711000000131
411333;12118;811000000133
412080;5666;331000000131
413667;2013;481081004133
414585;12255;711000000131
414842;108;351053014133
415286;9759;231000000111
415374;10911;131000000133
415793;106;131000000133
416179;20478;231000000133
416277;10239;511000000133
416980;5654;811000000133
416982;10064;711000000131
417364;7627;131000000123
417365;4977;131000000133
417409;8487;131000000112
417444;12242;511000000131
417729;6135;711000000233
418156; ; 
418471;1880;231000000133
