mrun;cod_nivel;es_mujer;prioritario;alto_rendimiento;lat_con_error;lon_con_error
26310284;1;1;1;0;-33,4402815;-70,7682969
26310324;2;0;0;0;-33,4773251;-70,5484497
26310349;2;0;1;0;-33,4557214;-70,6873932
26310359;1;0;1;0;-41,7725545;-73,1391016
26310380;2;0;1;0;-33,5046975;-70,6631724
26310390;1;1;0;0;-33,511332;-70,6595142
26310422;1;0;1;0;-32,7941729;-71,2234391
26310483;1;0;1;0;-33,6754724;-70,5815896
26310492;1;0;0;0;-33,2985452;-70,8731385
26310582;2;1;1;0;-33,4487965;-70,7353264
26310587;2;0;1;0;-23,6335161;-70,3842164
26310595;9;0;0;0;-33,6104753;-70,8960563
26310602;11;0;0;1;-34,1688576;-70,666955
26310621;1;1;1;0;-33,6319308;-70,5891055
26310651;1;0;1;0;-33,5653983;-70,6615475
26310668;1;0;1;0;-33,4963501;-70,7766416
26310691;1;1;1;0;-33,5468462;-70,5952552
26310743;2;0;1;0;-32,7495978;-70,7233381
26310744;4;1;0;0;-33,5645188;-70,6722342
26310771;1;0;0;0;-33,6790519;-70,9539367
26310794;2;0;1;0;-34,4297124;-71,09945
26310804;1;0;0;0;-33,3607986;-70,7346156
26310880;2;0;1;0;-34,1171904;-71,3763494
26310892;1;0;1;0;-33,5236379;-70,6905611
26310904;1;1;1;0;-40,5915335;-73,1215431
26310960;1;0;1;0;-33,5343205;-70,6141837
26311011;1;0;0;0;-33,6184047;-70,681197
26311027;1;0;0;0;-33,6860391;-70,9598569
26311100;1;1;1;0;-33,587559;-70,8134913
26311248;1;1;0;0;-20,2507198;-70,1051974
26311252;1;1;1;0;-23,5932161;-70,3752657
26311279;1;0;0;0;-33,5956436;-70,5559567
26311323;1;0;1;0;-33,530049;-70,5909169
26311330;2;1;0;0;-33,5044216;-70,7480064
26311356;1;0;1;0;-38,5187697;-72,4267207
26311359;1;1;1;0;-37,4632335;-72,3606307
26311364;1;0;1;0;-36,6044925;-72,1052366
26311411;5;0;1;0;-20,2686654;-70,107042
26311473;1;0;1;0;-33,4992029;-70,6513201
26311508;1;0;1;0;-37,0096259;-73,1569972
26311536;9;1;1;0;-33,4203262;-70,6464382
26311542;1;1;1;0;-34,6543319;-70,9434356
26311552;1;1;0;0;-33,4793441;-70,6229292
26311613;1;0;1;0;-41,4613508;-72,9834166
26311617;1;0;1;0;-36,6190013;-72,1239292
26311646;3;1;1;0;-23,5772282;-70,3793912
26311653;1;0;1;0;-37,0082294;-73,1571562
26311673;1;0;1;0;-20,2123772;-70,1532965
26311681;2;0;1;0;-34,1723597;-70,7427885
