mrun;cod_nivel;rbd_admitido;cod_curso_admitido
231267;3;10103;311000000133
231353;9;280;131000000133
231354;9;16587;131000000133
232587;9;8506;131000000133
232687;8;229;811000000133
233327;6;22358;611000000133
233885;10;14606;231000000133
234152;10;9061;231000000133
234323;9;9006;131000000133
234410;9;1213;131000000133
235183;7;24864;711000000133
235374;9;18066;131000000133
235630;4;6273;411000000133
236260;9;22114;131000000233
236810;4;5654;411000000133
237001;7;10705;711000000133
237639;9;2109;131000000113
237715;5;2050;511000000132
238246;11;254;331000000113
238343;10;3538;231000000133
238674;9;8;131000000133
238857;9;11265;131000000133
239238;9;25853;131000000133
239519;9;4951;131000000133
239958;7;10404;711000000133
239998;8;7636;811000000133
240041;9;379;131000000133
240245;8;22688;811000000133
241069;9;24714;131000000133
241238;9;8442;131000000233
241485;11;9660;331000000133
242997;9;5669;131000000113
243201;9;9959;131000000133
243751;9;10470;131000000133
244028;9;24686;131000000133
244036;7;1352;711000000233
244446;5;41899;511000000133
245328;8;616;811000000133
246313;9; ; 
246402;7;31343;711000000133
246520;7;6273;711000000133
246647;12;2111;461064008133
247139;9;10725;131000000133
247145;4;12588;411000000132
247665;9;16729;131000000133
248367;9;4536;131000000111
248813;9;5666;131000000132
250252;11;1590;351053014123
250536;9; ; 
250591;7;646;711000000133
250804;9;25543;131000000131
251387;7;3539;711000000133
251666;6;12591;611000000133
251875;9;9082;131000000133
252179;4;40078;411000000133
252514;7;8485;711000000132
252910;9;6085;131000000133
253541;9;284;131000000133
253878;6;14587;611000000133
254032;10;6085;231000000133
255034;4;1930;411000000133
255213;11;9865;331000000133
255326;8;1975;811000000133
255708;11;4531;331000000131
255976;4;1050;411000000133
255999;11;8507;341041002131
256305;5;16747;511000000133
256359;12;9409;461064008111
256998;9;24686;131000000133
256999;9;5343;131000000133
257092;9;449;131000000133
257588;4;12037;411000000133
258145;6;30006;611000000133
259327;11;9082;351055022133
259372;11;15600;331000000133
260091;9;16583;131000000133
260546;9;8756;131000000233
260631;9;284;131000000133
261218;9;5219;131000000133
261919;8;19;811000000133
261920;8;5824;811000000133
262184;12;4166;461064008113
262428;6;10557;611000000133
262513;8;10716;811000000131
262531;11;6897;331000000133
262640;6;2312;611000000133
262998;9;10781;131000000131
263421;10;5666;231000000132
264449;4;40065;411000000133
264594;11;10632;341041005233
265706;5;10010;511000000133
266309;9;24638;131000000132
267908;5;2101;511000000133
268385;4;25089;411000000133
268888;9;9060;131000000133
269475;10;1969;231000000133
269753;4;4665;411000000132
271970;11;45;331000000113
273161;9;25853;131000000133
273597;6;12860;611000000131
274723;9;9693;131000000133
274724;9;97;131000000133
275096;6;3719;611000000133
275130;9;11155;131000000133
275584;11;8756;331000000233
276331;7;10149;711000000131
277027;9;7628;131000000113
277590;9;1663;131000000131
278056;6;9618;611000000133
278113;3;1234;311000000133
278799;9;13604;131000000133
